name	sample_id	aliquot_id
RNAseq_wf_TCGA-06-5417-01A-01R-1849-01	TCGA-06-5417-01A	TCGA-06-5417-01A-01R-1849-01
RNAseq_wf_TCGA-ZF-AA4T-01A-11R-A38B-07	TCGA-ZF-AA4T-01A	TCGA-ZF-AA4T-01A-11R-A38B-07
RNAseq_wf_TCGA-ZF-AA4V-01A-11R-A38B-07	TCGA-ZF-AA4V-01A	TCGA-ZF-AA4V-01A-11R-A38B-07
RNAseq_wf_TCGA-ZF-AA4W-01A-12R-A38B-07	TCGA-ZF-AA4W-01A	TCGA-ZF-AA4W-01A-12R-A38B-07
RNAseq_wf_TCGA-ZF-AA51-01A-21R-A39I-07	TCGA-ZF-AA51-01A	TCGA-ZF-AA51-01A-21R-A39I-07
RNAseq_wf_TCGA-ZF-AA53-01A-11R-A39I-07	TCGA-ZF-AA53-01A	TCGA-ZF-AA53-01A-11R-A39I-07
RNAseq_wf_TCGA-ZF-AA56-01A-31R-A39I-07	TCGA-ZF-AA56-01A	TCGA-ZF-AA56-01A-31R-A39I-07
RNAseq_wf_TCGA-ZF-AA58-01A-12R-A42T-07	TCGA-ZF-AA58-01A	TCGA-ZF-AA58-01A-12R-A42T-07
RNAseq_wf_TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-D8-A1XG-01A	TCGA-D8-A1XG-01A-11R-A14D-07
RNAseq_wf_TCGA-D8-A1XJ-01A-11R-A14M-07	TCGA-D8-A1XJ-01A	TCGA-D8-A1XJ-01A-11R-A14M-07
RNAseq_wf_TCGA-E2-A15A-01A-11R-A12D-07	TCGA-E2-A15A-01A	TCGA-E2-A15A-01A-11R-A12D-07
RNAseq_wf_TCGA-LL-A5YN-01A-11R-A28M-07	TCGA-LL-A5YN-01A	TCGA-LL-A5YN-01A-11R-A28M-07
RNAseq_wf_TCGA-LL-A5YO-01A-21R-A28M-07	TCGA-LL-A5YO-01A	TCGA-LL-A5YO-01A-21R-A28M-07
RNAseq_wf_TCGA-LL-A5YP-01A-21R-A28M-07	TCGA-LL-A5YP-01A	TCGA-LL-A5YP-01A-21R-A28M-07
RNAseq_wf_TCGA-LL-A6FQ-01A-11R-A31O-07	TCGA-LL-A6FQ-01A	TCGA-LL-A6FQ-01A-11R-A31O-07
RNAseq_wf_TCGA-LL-A6FR-01A-12R-A31O-07	TCGA-LL-A6FR-01A	TCGA-LL-A6FR-01A-12R-A31O-07
RNAseq_wf_TCGA-MY-A913-01A-11R-A37O-07	TCGA-MY-A913-01A	TCGA-MY-A913-01A-11R-A37O-07
