Cancer	Sample	Fusion	Junction	Spanning	Breakpoint1	Breakpoint2
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	RHOF--HEXDC	51	268	chr12:121801707:-	chr17:82440997:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	PRLR--CLPTM1L	22	103	chr5:35230268:-	chr5:1318453:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	KCTD5--TSC2	24	59	chr16:2697997:+	chr16:2086193:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	NCAPD2--MRPL48	23	51	chr12:6494154:+	chr11:73805027:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	DAB2--ARSB	13	59	chr5:39392365:-	chr5:78969192:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	TBCA--ARSB	5	16	chr5:77708242:-	chr5:78839426:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	DAB2--COL4A3BP	4	18	chr5:39424804:-	chr5:75459181:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	TBCD--GLIPR2	3	15	chr17:82884202:+	chr9:36147786:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	C9--COL4A3BP	4	10	chr5:39424804:-	chr5:75459181:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	CWC27--PLPP1	5	5	chr5:64885546:+	chr5:55426039:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	DYNC1I1--ASB4	4	9	chr7:95869998:+	chr7:95495758:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	UIMC1--DBN1	3	13	chr5:176943335:-	chr5:177468899:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	KMT2A--ATP5L	2	15	chr11:118482495:+	chr11:118431024:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	MIER3--KIF2A	3	9	chr5:56935428:-	chr5:62385484:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	RBM14--BBS1	1	17	chr11:66618561:+	chr11:66515540:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	HNRNPUL1--CLIP3	1	11	chr19:41268345:+	chr19:36032766:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	NRG4--SCNN1D	1	9	chr15:76009200:-	chr1:1290477:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	TNPO1--MEF2C	2	3	chr5:72816752:+	chr5:88761328:-
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	PAPD4--GPBP1	1	5	chr5:79613075:+	chr5:57175448:+
ACC	TCGA-OR-A5J1-01A-11R-A29S-07	GIGYF2--HSCB	1	3	chr2:232794944:+	chr22:28751241:+
ACC	TCGA-OR-A5J2-01A-11R-A29S-07	ASXL2--PPWD1	2	17	chr2:25806229:-	chr5:65576879:+
ACC	TCGA-OR-A5J2-01A-11R-A29S-07	AJAP1--CYTH3	1	13	chr1:4655454:+	chr7:6190531:-
ACC	TCGA-OR-A5J3-01A-11R-A29S-07	ASB4--DYNC1I1	1	1	chr7:95536550:+	chr7:95804721:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	KIF1B--FAM58A	50	448	chr1:10232434:+	chrX:153596187:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	FLVCR2--BATF	49	328	chr14:75579641:+	chr14:75546462:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	PRX--BLVRB	54	162	chr19:40398620:-	chr19:40448046:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	PDXK--RRP1B	32	131	chr21:43758542:+	chr21:43694893:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	ASPSCR1--HGS	25	93	chr17:81985607:+	chr17:81700467:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	SCMH1--CA6	19	82	chr1:41033983:-	chr1:8949263:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	MAPKAPK5--ALDH2	9	57	chr12:111842769:+	chr12:111803859:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	PEBP1--DENND4B	4	76	chr12:118139551:+	chr1:153936188:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	NFE2L1--NPEPPS	10	41	chr17:48048462:+	chr17:47596353:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	NR5A1--NR6A1	5	43	chr9:124500090:-	chr9:124524873:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	CSNK1G1--CS	4	42	chr15:64355988:-	chr12:56286645:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	GTF2I--FLAD1	7	28	chr7:74658068:+	chr1:154988105:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	KDM4B--CCDC94	8	23	chr19:5047669:+	chr19:4247119:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	SBNO2--TULP2	5	34	chr19:1168694:-	chr19:48889631:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	TMEM87B--PVT1	5	24	chr2:112081118:+	chr8:127890589:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	PGAP1--HSPD1	5	16	chr2:196885424:-	chr2:197497392:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	RCOR1--PPP2R5C	3	21	chr14:102681978:+	chr14:101856686:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	MAP4--ENPP7P14	5	10	chr3:47928228:-	chr16:5111430:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	NDEL1--KCNB1	2	17	chr17:8454887:+	chr20:49310799:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	ELMSAN1--ALDH6A1	2	13	chr14:73787102:-	chr14:74075017:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	EXOSC10--MTOR	2	9	chr1:11079711:-	chr1:11130777:-
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	PVT1--MERTK	2	9	chr8:127794734:+	chr2:111965191:+
ACC	TCGA-OR-A5J7-01A-11R-A29S-07	AS3MT--SUFU	2	7	chr10:102890678:+	chr10:102597140:+
ACC	TCGA-OR-A5J8-01A-11R-A29S-07	AARS2--SPATS1	184	1079	chr6:44310994:-	chr6:44360446:+
ACC	TCGA-OR-A5J8-01A-11R-A29S-07	EIF4H--AARS2	118	449	chr7:74174442:+	chr6:44312263:-
ACC	TCGA-OR-A5J8-01A-11R-A29S-07	CAPRIN1--CD151	8	65	chr11:34090678:+	chr11:838133:+
ACC	TCGA-OR-A5J8-01A-11R-A29S-07	NFKBIE--FBXO9	1	15	chr6:44262560:-	chr6:53071057:+
ACC	TCGA-OR-A5J8-01A-11R-A29S-07	RNF185--SMTN	1	6	chr22:31192702:+	chr22:31095303:+
ACC	TCGA-OR-A5J8-01A-11R-A29S-07	DDR2--ATF6	1	3	chr1:162655374:+	chr1:161958446:+
ACC	TCGA-OR-A5J9-01A-11R-A29S-07	PPP2R5C--PRKD1	2	33	chr14:101810036:+	chr14:29599817:-
ACC	TCGA-OR-A5J9-01A-11R-A29S-07	ITPKA--NUSAP1	2	13	chr15:41494416:+	chr15:41342386:+
